hero_name,role,win_rate,pick_rate,ban_rate,release_year
Terizla,fighter,0.174064403829417,0.027322404371584695,0.0,0.5999999999999659
Martis,fighter,0.0,0.027322404371584695,0.0,0.39999999999997726
Grock,tank,0.23411662315056558,0.02459016393442623,0.0,0.19999999999998863
Carmilla,support,0.7624020887728453,0.008196721311475407,0.0,0.7999999999999545
Irithel,marksman,0.5674499564838995,0.0901639344262295,0.00016321201240411298,0.19999999999998863
Thamuz,fighter,0.2080069625761536,0.07650273224043715,0.00016321201240411298,0.39999999999997726
Leomord,fighter,0.4438642297650133,0.07103825136612021,0.00016321201240411298,0.39999999999997726
Lunox,mage,0.3951261966927766,0.05191256830601092,0.00016321201240411298,0.39999999999997726
Aurora,mage,0.2550043516100957,0.04918032786885246,0.00016321201240411298,0.19999999999998863
Minsitthar,fighter,0.48215839860748444,0.032786885245901634,0.00016321201240411298,0.39999999999997726
Alpha,fighter,0.30461270670147966,0.05464480874316939,0.0003264240248082259,0.19999999999998863
Kimmy,marksman,0.8015665796344646,0.03005464480874316,0.0003264240248082259,0.39999999999997726
Vexana,mage,0.4760661444734553,0.01366120218579235,0.0003264240248082259,0.19999999999998863
Karrie,marksman,0.01653611836379465,0.18306010928961747,0.000489636037212339,0.19999999999998863
Ruby,fighter,0.6370757180156654,0.12568306010928962,0.000489636037212339,0.19999999999998863
Belerick,tank,0.6579634464751956,0.0983606557377049,0.000489636037212339,0.39999999999997726
Lolita,tank,0.9999999999999996,0.021857923497267756,0.000489636037212339,0.0
Akai,tank,0.3724978241949519,0.15300546448087432,0.0006528480496164519,0.0
Moskov,marksman,0.37162750217580554,0.11748633879781419,0.0006528480496164519,0.19999999999998863
Freya,fighter,0.5630983463881631,0.0901639344262295,0.0006528480496164519,0.0
Harith,mage,0.25413402959094844,0.07103825136612021,0.0006528480496164519,0.39999999999997726
X.Borg,fighter,0.32724107919930345,0.2568306010928961,0.0008160600620205649,0.5999999999999659
Dyrroth,fighter,0.09660574412532652,0.22404371584699453,0.0008160600620205649,0.5999999999999659
Faramis,support,0.4604003481288079,0.0,0.0008160600620205649,0.5999999999999659
Hylos,tank,0.7310704960835506,0.1912568306010929,0.0009792720744246778,0.19999999999998863
Clint,marksman,0.42993907745865956,0.180327868852459,0.0009792720744246778,0.0
Lylia,mage,0.7502175805047862,0.09562841530054644,0.0009792720744246778,0.5999999999999659
Gord,mage,0.45604873803307244,0.11748633879781419,0.0011424840868287907,0.0
Masha,fighter,0.7946040034812882,0.06830601092896174,0.0011424840868287907,0.5999999999999659
Minotaur,tank,0.6344647519582245,0.04371584699453551,0.0011424840868287907,0.0
Cyclops,mage,0.6118363794604007,0.2786885245901639,0.0013056960992329039,0.19999999999998863
Baxia,tank,0.744125326370757,0.10655737704918031,0.0013056960992329039,0.5999999999999659
Khaleed,fighter,0.6475195822454309,0.09289617486338797,0.0013056960992329039,0.7999999999999545
Bane,fighter,0.23150565709312376,0.021857923497267756,0.0013056960992329039,0.0
Bruno,marksman,0.343777197563099,0.30054644808743164,0.0014689081116370166,0.0
Kagura,mage,0.6997389033942558,0.180327868852459,0.0014689081116370166,0.0
Kaja,support,0.5744125326370759,0.032786885245901634,0.0014689081116370166,0.39999999999997726
Popol and Kupa,marksman,0.38294168842471654,0.07377049180327867,0.0016321201240411297,0.7999999999999545
Argus,fighter,0.8059181897302001,0.0983606557377049,0.0017953321364452424,0.19999999999998863
Badang,fighter,0.41601392515230673,0.27595628415300544,0.0019585441488493556,0.5999999999999659
Lapu Lapu,fighter,0.35944299390774637,0.19398907103825136,0.0021217561612534683,0.19999999999998863
Hilda,fighter,0.18102697998259343,0.12021857923497266,0.0021217561612534683,0.19999999999998863
Roger,fighter,0.2898172323759787,0.2595628415300546,0.0022849681736575814,0.19999999999998863
Odette,mage,0.36466492602262823,0.1912568306010929,0.0022849681736575814,0.19999999999998863
Valir,mage,0.4386422976501305,0.15846994535519124,0.0022849681736575814,0.39999999999997726
Granger,marksman,0.20626631853785904,0.37704918032786877,0.0024481801860616946,0.5999999999999659
Estes,support,0.5308964316797211,0.03005464480874316,0.003101028235678146,0.19999999999998863
Alucard,fighter,0.34116623150565717,0.40163934426229503,0.003427452260486372,0.0
Alice,mage,0.45517841601392517,0.08743169398907102,0.0035906642728904853,0.0
Rafaela,support,0.43342036553524776,0.0355191256830601,0.004406724334911049,0.0
Kadita,mage,0.5091383812010446,0.12568306010928962,0.004896360372123388,0.39999999999997726
Eudora,mage,0.32724107919930345,0.448087431693989,0.00554920842173984,0.0
Lesley,marksman,0.34116623150565717,0.5163934426229507,0.006202056471356293,0.39999999999997726
Miya,marksman,0.3577023498694518,0.628415300546448,0.006528480496164517,0.0
Barats,tank,0.0974760661444729,0.01366120218579235,0.006528480496164517,0.7999999999999545
Zilong,fighter,0.26544821583986034,0.7076502732240436,0.007670964582993308,0.0
Hanabi,marksman,0.6449086161879891,0.5437158469945355,0.007834176595397422,0.39999999999997726
Uranus,tank,0.3803307223672756,0.17486338797814205,0.007997388607801536,0.39999999999997726
Franco,tank,0.2297650130548301,0.6857923497267758,0.008160600620205648,0.0
Pharsa,mage,0.24281984334203655,0.3715846994535518,0.010935204831075568,0.19999999999998863
Sun,fighter,0.5274151436031329,0.4918032786885246,0.01109841684347968,0.0
Saber,assassin,0.14099216710182771,0.40983606557377045,0.011261628855883794,0.0
Yi Sun Shin,marksman,0.8981723237597907,0.31147540983606553,0.011914476905500246,0.19999999999998863
Cecilion,mage,0.48476936466492626,0.35519125683060104,0.012240900930308472,0.7999999999999545
Chou,fighter,0.33768494342906896,0.8524590163934425,0.013056960992329036,0.0
Chang'e,mage,0.6875543951261966,0.5519125683060108,0.01485229312877428,0.39999999999997726
Claude,marksman,0.5883376849434288,0.3497267759562841,0.01566835319079484,0.39999999999997726
Tigreal,tank,0.41949521322889494,0.9999999999999999,0.018279745389260648,0.0
Nana,mage,0.13577023498694496,0.5300546448087431,0.019585441488493553,0.0
Balmond,fighter,0.11314186248912117,0.5218579234972677,0.019585441488493553,0.0
Layla,marksman,0.26892950391644943,0.7486338797814207,0.021217561612534686,0.0
Angela,support,0.30461270670147966,0.4043715846994535,0.021870409662151136,0.39999999999997726
Atlas,tank,0.5726718885987814,0.1912568306010929,0.024645013873021055,0.7999999999999545
Harley,mage,0.6553524804177546,0.3251366120218579,0.026929982046678635,0.19999999999998863
Karina,assassin,0.42645778938207135,0.26502732240437155,0.027093194059082747,0.0
Jawhead,fighter,0.5143603133159265,0.42076502732240434,0.0277460421086992,0.39999999999997726
Guinevere,fighter,0.5039164490861618,0.6912568306010928,0.16321201240411295,0.5999999999999659
Aldous,fighter,0.5822454308093996,0.30054644808743164,0.16647625265219523,0.39999999999997726
Ling,assassin,0.2767624020887731,0.11202185792349727,0.18312387791741475,0.5999999999999659
Hanzo,assassin,0.489991296779809,0.09289617486338797,0.18442957401664764,0.39999999999997726
Paquito,fighter,0.19930374238468263,0.19398907103825136,0.20581034764158646,1.0
Vale,mage,0.5857267188859878,0.4999999999999999,0.03623306675371308,0.5999999999999659
Zhask,mage,0.6736292428198438,0.20218579234972678,0.03753876285294598,0.19999999999998863
Gatot Kaca,tank,0.6597040905134901,0.5409836065573769,0.04357760731189816,0.19999999999998863
Selena,assassin,0.5413402959094866,0.34426229508196715,0.04472009139872695,0.39999999999997726
Khufra,tank,0.5622280243690168,0.25409836065573765,0.04472009139872695,0.5999999999999659
Gusion,assassin,0.4090513489991294,0.46448087431693985,0.0453729394483434,0.39999999999997726
Yu Zhong,fighter,0.44473455178415966,0.39890710382513656,0.0465154235351722,0.7999999999999545
Wanwan,marksman,0.7188859878154914,0.42896174863387976,0.3318100212175617,0.5999999999999659
Lancelot,assassin,0.1488250652741514,0.3743169398907103,0.4057450628366248,0.19999999999998863
Luo Yi,mage,0.44560487380330693,0.21584699453551912,0.052064631956912036,0.7999999999999545
Hayabusa,assassin,0.5848563968668405,0.4125683060109289,0.05581850824220663,0.0
Diggie,support,0.7771975630983463,0.05464480874316939,0.062346988738371155,0.19999999999998863
Johnson,tank,0.5387293298520448,0.37704918032786877,0.5304390403133672,0.19999999999998863
Helcurt,assassin,0.27154046997389036,0.12021857923497266,0.553288722049943,0.19999999999998863
Yve,mage,0.671018276762402,0.06830601092896174,0.06854904520972743,1.0
Mathilda,support,0.35944299390774637,0.06557377049180327,0.07099722539578913,0.7999999999999545
Fanny,assassin,0.35248041775456906,0.2377049180327869,0.07279255753223438,0.0
Esmeralda,mage,0.36031331592689275,0.3278688524590163,0.6898971764321855,0.5999999999999659
Benedetta,assassin,0.6422976501305482,0.18306010928961747,0.8069201893259345,0.7999999999999545
Brody,marksman,0.5718015665796341,0.180327868852459,0.9797617104618901,0.7999999999999545
Natalia,assassin,0.24020887728459472,0.0983606557377049,1.0,0.0
Silvanna,fighter,0.6657963446475192,0.8224043715846994,0.1561938958707361,0.5999999999999659
